1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,class
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,B,A,A,D,B,A,D,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,B,B,A,A,C,B,A,D,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,B,B,A,A,D,B,A,D,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,B,B,A,A,D,B,A,D,A,A,A,B,A,A,A,A,A,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,B,B,A,A,D,B,A,D,A,A,A,B,A,A,A,B,A,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,C,B,A,A,B,B,A,D,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,C,B,A,A,B,B,A,D,A,A,A,B,A,A,A,B,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,C,B,A,A,B,B,A,D,A,A,A,B,A,A,A,B,A,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,C,C,A,A,B,C,A,D,A,A,A,B,A,A,A,B,B,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,C,C,A,A,B,C,A,D,A,A,A,B,B,A,A,B,B,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,B,B,B,A,A,D,B,A,D,A,A,A,B,A,A,A,A,B,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,B,C,C,B,B,B,C,B,D,A,A,B,B,B,B,B,B,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,B,A,C,B,A,A,B,B,A,D,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,B,A,C,C,B,B,B,C,B,D,A,A,A,B,B,B,A,B,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,B,B,B,B,A,A,D,B,A,D,A,A,A,B,A,A,B,A,A,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,C,B,B,B,A,A,D,B,A,D,A,A,A,B,B,A,B,A,A,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,B,A,A,B,B,A,A,D,B,A,D,A,A,A,B,A,A,A,B,B,D,B,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,B,A,A,C,B,A,A,B,B,A,D,A,A,A,B,A,A,A,B,B,D,B,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,B,A,A,C,C,A,A,B,C,A,D,A,A,A,B,B,B,A,B,B,D,B,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,B,A,B,C,C,B,B,B,C,B,D,A,A,A,B,B,B,B,B,B,A,B,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,B,A,B,C,C,B,B,B,C,B,D,A,A,A,B,B,B,B,B,B,B,B,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,B,A,B,C,C,B,B,B,C,B,D,A,A,B,B,B,B,B,B,B,A,B,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,B,A,A,B,A,B,C,C,B,B,B,C,B,D,A,A,B,B,B,B,B,B,B,A,B,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,B,A,A,B,A,D,C,C,B,B,B,C,B,D,A,A,B,B,B,B,B,A,B,A,B,FALSE
