@relation 'MW1_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 29 {A,B,C,D}
@attribute 33 {A,B,C,D}
@attribute 25 {A,B,C,D}
@attribute 32 {A,B,C,D}
@attribute 18 {A,B,D,C}
@attribute 22 {A,B,C,D}
@attribute 13 {A,B,C,D}
@attribute 21 {A,B,C,D}
@attribute 35 {A,B,D,C}
@attribute 3 {A,B,C,D}
@attribute 37 {A,B,C,D}
@attribute 1 {A,B,C,D}
@attribute 5 {A,B,C,D}
@attribute 31 {A,B,C,D}
@attribute 16 {A,B,C,D}
@attribute 11 {A,B,C,D}
@attribute 24 {B,C,D,A}
@attribute 20 {B,C,D,A}
@attribute 27 {A,B,C,D}
@attribute 6 {A,B,C,D}
@attribute 9 {A,B,C,D}
@attribute 28 {A,B,C,D}
@attribute 2 {A,B,C,D}
@attribute 7 {A,B,C,D}
@attribute 14 {A,C,B,D}
@attribute 8 {A,C,D,B}
@attribute 12 {D,C,B,A}
@attribute 10 {A,B,D,C}
@attribute 36 {A,D,B,C}
@attribute 19 {A,B,C,D}
@attribute 23 {D,C,B,A}
@attribute 34 {A,B,C,D}
@attribute 26 {D,B,C,A}
@attribute 4 {A,B,C,D}
@attribute 30 {B,D,A}
@attribute 17 {A,B,C,D}
@attribute 15 {A,D}
@attribute class {FALSE,TRUE}

@data
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,D,A,A,A,D,A,D,A,B,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,D,A,A,B,C,A,D,A,B,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,D,A,A,B,D,A,D,A,B,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,D,A,D,B,D,A,D,A,B,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,D,A,D,B,D,B,D,A,B,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,D,A,A,C,B,A,D,A,B,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,D,A,A,C,B,B,D,A,B,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,D,A,D,C,B,B,D,A,B,A,A,FALSE
A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,C,C,A,A,A,A,A,A,A,A,D,A,D,C,B,B,D,A,B,A,A,FALSE
A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,C,C,A,A,A,A,A,A,A,A,D,A,D,C,B,B,D,A,B,A,A,FALSE
A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,D,A,D,B,D,A,D,A,B,A,A,FALSE
B,B,B,B,B,B,A,B,A,A,A,A,A,B,A,A,C,C,A,A,A,A,A,A,A,A,D,A,A,C,B,B,D,A,B,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,D,A,A,C,B,A,D,A,B,B,A,FALSE
A,A,B,B,A,B,A,B,A,A,A,A,A,B,A,A,C,C,A,A,A,A,A,A,A,A,D,A,A,C,B,B,D,A,B,B,A,FALSE
A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,D,A,D,B,D,A,D,A,B,B,A,FALSE
A,B,A,A,B,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,D,A,D,B,D,A,D,A,B,C,A,FALSE
A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,D,A,D,B,D,B,D,A,B,A,A,FALSE
A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,D,A,D,C,B,B,D,A,B,A,A,FALSE
A,A,A,B,A,A,A,A,B,A,B,A,A,B,B,A,C,C,A,A,A,A,A,A,A,A,D,A,D,C,B,B,D,A,B,A,A,FALSE
A,B,B,B,B,B,A,B,B,A,B,A,A,B,B,A,C,C,A,A,A,A,A,A,A,A,D,A,A,C,B,B,D,A,B,A,A,FALSE
A,B,B,B,B,B,A,B,B,A,B,A,A,B,B,A,C,C,A,A,A,A,A,A,A,A,D,A,B,C,B,B,D,A,B,A,A,FALSE
