@relation 'MW1_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -W -M -1 -D 1 -K 10 -A 2-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 25 {A,B,C,D}
@attribute 18 {A,B,D,C}
@attribute 24 {B,C,D,A}
@attribute 20 {B,C,D,A}
@attribute 21 {A,B,C,D}
@attribute 32 {A,B,C,D}
@attribute 22 {A,B,C,D}
@attribute 33 {A,B,C,D}
@attribute 3 {A,B,C,D}
@attribute 23 {D,C,B,A}
@attribute 36 {A,D,B,C}
@attribute 19 {A,B,C,D}
@attribute 5 {A,B,C,D}
@attribute 31 {A,B,C,D}
@attribute 34 {A,B,C,D}
@attribute 10 {A,B,D,C}
@attribute 29 {A,B,C,D}
@attribute 37 {A,B,C,D}
@attribute 13 {A,B,C,D}
@attribute 2 {A,B,C,D}
@attribute 8 {A,C,D,B}
@attribute 12 {D,C,B,A}
@attribute 16 {A,B,C,D}
@attribute 35 {A,B,D,C}
@attribute 11 {A,B,C,D}
@attribute 7 {A,B,C,D}
@attribute 4 {A,B,C,D}
@attribute 28 {A,B,C,D}
@attribute 6 {A,B,C,D}
@attribute 9 {A,B,C,D}
@attribute 27 {A,B,C,D}
@attribute 30 {B,D,A}
@attribute 1 {A,B,C,D}
@attribute 26 {D,B,C,A}
@attribute 14 {A,C,B,D}
@attribute 15 {A,D}
@attribute 17 {A,B,C,D}
@attribute class {FALSE,TRUE}

@data
A,A,B,B,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,B,A,D,A,A,A,FALSE
A,A,B,B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,B,A,D,A,A,A,FALSE
A,A,B,B,A,A,A,A,A,D,A,B,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,B,A,D,A,A,A,FALSE
A,A,B,B,A,A,A,A,A,D,D,B,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,B,A,D,A,A,A,FALSE
A,A,B,B,A,A,A,A,A,D,D,B,A,A,B,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,B,A,D,A,A,A,FALSE
A,A,B,B,A,A,A,A,A,B,A,C,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,B,A,D,A,A,A,FALSE
A,A,B,B,A,A,A,A,A,B,A,C,A,A,B,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,B,A,D,A,A,A,FALSE
A,A,B,B,A,A,A,A,A,B,D,C,A,A,B,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,B,A,D,A,A,A,FALSE
A,A,C,C,A,A,A,A,A,B,D,C,A,A,B,A,A,A,A,A,A,D,A,B,A,A,A,A,A,A,A,B,A,D,A,A,A,FALSE
A,A,C,C,A,A,A,A,A,B,D,C,A,B,B,A,A,A,A,A,A,D,A,B,A,A,A,A,A,A,A,B,A,D,A,A,A,FALSE
